Chromosome	Start	End	Index	Probe	FlagIndex
1	6557655	6557861	212	217_cg01514859;cg18810133	1
1	6567165	6567305	213	218_PET_CpG	1
1	6614270	6614413	214	219_cg03046264	1
1	6614430	6614865	215	220_cg04093404;cg07399635;cg24047689;cg07997941	1
1	6639860	6640034	216	221_cg17500119;cg22431590	1
1	6640070	6640102	217	222_cg09143576	0
1	6661908	6662056	218	223_cg11405531	1
1	6663458	6663720	219	224_cg06320134;cg16290123	1
1	6672925	6673063	220	225_cg22040963	1
1	6685080	6685171	221	228_cg14848383;cg27300967	0
1	6685498	6685641	222	229_cg06826730	1
1	6685828	6685968	223	230_PET_CpG	1
1	6761588	6761718	224	231_cg25007939	0
1	6761856	6762004	225	232_cg07400628	1
1	6803835	6803992	226	233_PET_CpG	1
1	6845135	6845291	227	234_cg12644588;cg16414762;cg24326501	0
1	6995589	6995737	228	236_PET_CpG	1
1	7023705	7023872	229	237_cg11517468	1
1	7029055	7029559	230	238_PET_CpG	1
1	7130418	7130567	231	239_cg16559708	1
1	7187589	7187735	232	240_PET_CpG	1
1	7187954	7188096	233	241_PET_CpG	1
1	7692297	7692599	234	242_PET_CpG	1
1	7740199	7740352	235	243_cg11535529;cg22364869	1
1	7764589	7764769	236	244_cg01373292;cg08640609	0
1	7765295	7765459	237	245_cg09696653;cg15211499	1
1	7831033	7831225	238	246_PET_CpG;247_cg00773965;cg07148645;cg14993123	0
1	7831382	7831977	239	246_PET_CpG;248_cg14823007	0
1	7962777	7962908	240	250_cg23631229	1
1	8002449	8002711	241	251_cg18859763;cg27305704	1
1	8013954	8014704	242	252_PET_CpG;253_cg02737782	1
1	8021173	8021333	243	254_cg17425224	1
1	8021473	8021621	244	255_cg24006384	1
1	8021669	8021814	245	256_cg16136678	1
1	8021884	8022046	246	257_cg00042356	1
1	8086229	8086380	247	258_cg08532870	0
1	8277317	8277450	248	259_cg07113230	0
1	8277497	8277846	249	260_PET_CpG	1
1	8455717	8455873	250	261_PET_CpG	1
1	8483397	8483541	251	262_cg22736444	1
1	8484087	8484379	252	263_cg08856919;cg15492466;cg23843414	1
1	8583889	8584145	253	264_PET_CpG	1
1	8664440	8664594	254	265_PET_CpG	1
1	8762966	8763116	255	266_cg16908156	1
1	8763296	8763433	256	267_cg09473867	0
1	8877622	8877772	257	268_cg03001415;cg10642449;cg19414419;cg20244235;cg22816534;cg26820375	0
1	8938628	8938895	258	269_cg01803717;cg10780495;cg07483064;cg09819654;cg12902497;cg21691089;cg22221490;cg09684870	0
1	8938927	8939206	259	269_cg01803717;cg10780495;cg07483064;cg09819654;cg12902497;cg21691089;cg22221490;cg09684870	0
1	9031003	9031302	260	270_PET_CpG	1
1	9080162	9080539	261	271_PET_CpG	1
1	9188847	9189010	262	272_cg06374766	1
1	9189032	9189179	263	273_cg12132894	0
1	9202372	9202509	264	274_cg08940853	1
1	9294498	9294632	265	275_cg21546874	1
1	9294892	9295005	266	276_cg09122657;cg24108194	0
1	9299883	9300020	267	277_PET_CpG	1
1	9352673	9352740	268	278_cg06456464	0
1	9352931	9353015	269	279_cg22109056	0
1	9353783	9353945	270	280_cg02447606	1
1	9486440	9486846	271	281_PET_CpG	1
1	9555336	9555476	272	282_cg26155217	1
1	9555481	9555749	273	283_cg13935689;cg25138854	1
1	9599176	9599322	274	284_cg25369015	1
1	9599323	9599488	275	285_cg00490256;cg00917899;cg06347499	0
1	9600038	9600132	276	286_cg03901886	0
1	9648547	9648621	277	287_cg10877147	0
1	9649223	9649368	278	288_cg21003981	0
1	9689117	9689257	279	289_PET_CpG	1
1	9689635	9690776	280	290_PET_CpG	1
1	9703912	9704284	281	291_PET_CpG	1
1	9711573	9711707	282	292_cg16895792	1
1	9711883	9712026	283	293_cg17325959	0
1	9712496	9712728	284	294_cg01666040;cg18976437	1
1	9713863	9714068	285	295_PET_CpG	1
1	9714251	9714855	286	297_cg08854008;296_PET_CpG	1
1	9715278	9715412	287	298_PET_CpG	1
1	9747192	9747344	288	299_cg19309580	1
1	9764847	9765042	289	300_PET_CpG	1
1	9777312	9778007	290	301_PET_CpG	1
1	9883812	9883992	291	302_cg08845510;cg15619966;cg23272189;cg23508540	0
1	9969834	9970052	292	303_cg17973407;cg24523535	0
1	10003352	10003503	293	304_cg00418146	0
1	10003672	10003806	294	305_cg06853505	1
1	10057087	10057399	295	306_cg03994053;cg18086187;cg23107691;cg25397076;cg27561954	1
1	10092611	10092755	296	307_cg02974126	1
1	10092931	10092981	297	308_cg21180178	0
1	10093216	10093304	298	309_cg15707544	0
1	10093626	10093785	299	310_cg00993191	1
1	10134541	10134690	300	311_PET_CpG	1
1	10270359	10270823	301	312_cg08926982;cg26116724;cg19955419;cg22822919;cg24722365	0
1	10271113	10271259	302	313_cg06615861	1
1	10458523	10458669	303	314_cg12796186	1
1	10458778	10459089	304	315_cg02068989;cg17520927;cg18017109;cg19368966;cg20768298;cg22341865	1
1	10490426	10490564	305	316_cg19400780	0
1	10490590	10490680	306	317_cg17211447	0
1	10490863	10491072	307	318_cg02461388;cg19915020	1
1	10532500	10532772	308	319_cg13229655;cg17075937;cg18149508;cg22728639	1
1	10534883	10535108	309	320_cg10971874;cg14649924	1
1	10555190	10555318	310	321_cg15823160	1
1	10571449	10571558	311	322_PET_CpG	1
1	10575760	10575985	312	323_PET_CpG	1
1	10753755	10753913	313	324_cg20462360	1
1	10754089	10754245	314	325_cg11913218;cg18346784	0
1	10776355	10776677	315	326_PET_CpG	1
1	10816175	10816321	316	327_PET_CpG	1
1	10853713	10853854	317	328_cg22800477	1
1	10854133	10854525	318	329_cg08945452;cg10491460;cg16238819	1
1	10855473	10855620	319	330_cg24102726	1
1	10856145	10856258	320	331_cg13840194	0
1	10927205	10927271	321	332_cg17903627	0
1	10927341	10927387	322	333_cg20253574	0
1	10927409	10927461	323	333_cg20253574	0
1	10963882	10964030	324	334_PET_CpG	1
1	10965022	10965162	325	335_PET_CpG	1
1	10992292	10992470	326	336_PET_CpG	1
1	11000062	11000493	327	337_PET_CpG	1
1	11004497	11004730	328	338_PET_CpG	1
1	11119775	11119946	329	339_cg05372549;cg13686362	0
1	11120099	11120214	330	340_cg03303757	0
1	11120466	11120650	331	341_cg10490147;cg21099221	1
1	11159771	11160149	332	342_cg11539038;cg18435880;cg24726995;cg20810398;cg26105280	1
1	11322309	11322446	333	343_cg06632353	1
1	11322454	11322584	334	344_cg08854313	1
1	11322770	11322931	335	345_cg16128122	1
1	11322954	11323100	336	346_cg14854718	1
1	11538761	11538903	337	347_cg12092561	1
1	11539176	11539312	338	348_cg15658487	1
1	11546371	11546521	339	349_PET_CpG	1
1	11710533	11710677	340	350_cg13875012	1
1	11714428	11714565	341	351_cg07426195	0
1	11724068	11724249	342	352_cg13193548;cg14968838;cg23671600;cg19741456;cg24598449	0
1	11724275	11724472	343	352_cg13193548;cg14968838;cg23671600;cg19741456;cg24598449	0
1	11724807	11725028	344	353_PET_CpG	1
1	11740942	11741033	345	354_cg15012981	1
1	11741324	11741515	346	355_cg11857246;cg21545977;cg26572388	1
1	11741618	11741762	347	356_cg22456539	1
1	11751307	11751453	348	357_cg06868562	1
1	11751548	11751645	349	358_cg24117376	0
1	11752082	11752241	350	359_cg02397176	1
1	11753262	11753405	351	360_PET_CpG	1
1	11779923	11780065	352	361_cg20432181	1
1	11790568	11790990	353	362_PET_CpG	1
1	11795997	11796166	354	363_cg06322619;cg13862210;cg17324198;cg19251740	0
1	11796199	11796245	355	363_cg06322619;cg13862210;cg17324198;cg19251740	0
1	11796903	11797062	356	364_cg07049998	1
1	11800797	11801018	357	365_PET_CpG	1
1	11865582	11865716	358	366_cg08869383	1
1	11865847	11866307	359	367_cg08269394;cg12751404;cg23068701;cg23952195;cg27012203	0
1	11919388	11919529	360	368_cg18533883	1
1	11968087	11968195	361	369_cg23086274	1
1	11968899	11969040	362	370_cg23842890	1
1	11994617	11994652	363	371_cg05155371	0
1	11994825	11994961	364	372_cg23231974	0
1	12040065	12040177	365	373_cg12222095;cg16040838;cg22377027	0
1	12040245	12040310	366	373_cg12222095;cg16040838;cg22377027	0
1	12040370	12040473	367	374_cg08543703	0
1	12079310	12079540	368	375_cg06753883;cg11223747;cg15059389;cg15570296	1
1	12079597	12079734	369	376_cg04205193	1
1	12079812	12079970	370	377_cg24953506	1
1	12112109	12112253	371	378_PET_CpG	1
1	12123229	12123377	372	379_cg14834850	1
1	12123474	12123612	373	380_cg05121790	1
1	12148064	12148198	374	381_PET_CpG	1
1	12148555	12148969	375	382_PET_CpG	1
1	12192992	12193141	376	384_PET_CpG	1
1	12210717	12210860	377	385_PET_CpG	1
1	12217507	12217664	378	386_PET_CpG	1
1	12226857	12227028	379	387_cg08844894;cg15819646;cg24635257	1
1	12227052	12227214	380	388_cg24682307	1
1	12227337	12227482	381	389_cg22337605	1
1	12227747	12227889	382	390_cg00155063	1
1	12233732	12234104	383	391_PET_CpG	1
1	12239338	12239516	384	392_PET_CpG	1
1	12290302	12290431	385	393_cg06219821	0
1	12405508	12405651	386	394_PET_CpG	1
1	12494253	12494510	387	395_PET_CpG	1
1	12533174	12533537	388	396_PET_CpG	1
1	12677010	12677148	389	397_cg00776782	1
1	12677616	12677672	390	398_cg06299537	1
1	12678130	12678274	391	399_cg11694418	1
1	12679180	12679330	392	400_cg13204568	1
1	12680665	12680873	393	401_PET_CpG	1
1	13840328	13840484	394	402_cg23974336	1
1	13910363	13911156	395	403_PET_CpG;404_cg05140069;cg09804380	1
1	14026411	14026684	396	405_cg00922376;cg05346841;cg07596209;cg09765994;cg23813012	1
1	14026746	14026876	397	406_cg09826587	0
1	14027011	14027257	398	407_cg13634713;cg24593694	1
1	14057331	14057657	399	408_PET_CpG	1
1	14075286	14075434	400	409_cg10781972	1
1	14075471	14075641	401	410_cg09360458;cg21605566	1
1	14075881	14076034	402	411_cg00124011	0
1	14440751	14440989	403	412_PET_CpG	1
1	14507894	14508052	404	413_PET_CpG	1
1	14925057	14925148	405	414_cg22396057	0
1	14926309	14926552	406	415_PET_CpG	1
1	14926909	14927085	407	416_PET_CpG	1
1	14987376	14987525	408	417_PET_CpG	1
1	15062411	15062571	409	418_PET_CpG	1
1	15088401	15088533	410	419_PET_CpG	1
1	15200273	15200418	411	420_PET_CpG	1
1	15251191	15251337	412	421_cg09820321	1
1	15321093	15321236	413	422_PET_CpG	1
1	15360138	15360239	414	423_PET_CpG	1
1	15392738	15392897	415	424_PET_CpG	1
1	15468298	15468760	416	425_PET_CpG	1
1	15478883	15479062	417	426_cg24535573;cg25975626	1
1	15480158	15480305	418	427_cg17725211	0
1	15573586	15573725	419	428_cg07352425	1
1	15575574	15575893	420	429_PET_CpG	1
1	15587834	15587976	421	430_PET_CpG	1
1	15655600	15655816	422	431_PET_CpG	1
1	15672545	15672685	423	432_PET_CpG	1
1	15673810	15673944	424	433_PET_CpG	1
1	15736448	15736599	425	434_cg25215654	1
1	15736928	15737062	426	435_cg25741794	1
1	15738083	15738289	427	436_PET_CpG	1
1	15743588	15743723	428	437_PET_CpG	1
1	15744340	15744454	429	438_PET_CpG	1
1	15850422	15850571	430	439_cg12612238	1
1	15850620	15850711	431	440_cg04607100	0
1	15851180	15851275	432	441_cg16706559;cg25845331	0
1	15853175	15853329	433	442_cg09123484;cg13860548;cg18192808	1
1	15911061	15911195	434	443_cg02900441	1
1	15911356	15911499	435	444_cg17759086	1
1	15930047	15930288	436	445_cg15036616;cg17177755	1
1	15943432	15943574	437	446_cg03420670	1
1	15943948	15944137	438	447_cg06859614;cg23645831	0
1	16010522	16010585	439	448_cg09073052;cg10232936	0
1	16010594	16010743	440	448_cg09073052;cg10232936	0
1	16082976	16083198	441	449_PET_CpG	1
1	16085328	16085446	442	450_cg14531560	0
1	16142234	16142374	443	451_cg00782260	1
1	16161312	16161472	444	452_cg16655404	1
1	16162132	16162275	445	453_cg16109817	1
1	16162576	16162733	446	454_cg18219212	1
1	16174344	16174441	447	455_cg09178529;cg09826002	0
1	16174586	16174851	448	456_cg03260139;cg16907344;cg06526137	1
1	16174987	16175123	449	457_cg05653691	1
1	16175792	16175937	450	458_cg09754868	1
1	16176306	16176463	451	459_cg08892464	1
1	16292617	16292966	452	460_PET_CpG	1
1	16302506	16302748	453	461_cg17446719;cg20703523;cg27051433	1
1	16339426	16339561	454	462_cg11727653	1
1	16396851	16397020	455	463_PET_CpG	1
1	16399646	16399779	456	464_cg03745244	1
1	16399983	16400137	457	465_cg07311565	0
1	16482362	16482507	458	466_cg15483964	1
1	16484628	16484766	459	467_PET_CpG	1
1	16489037	16489172	460	468_cg23072161	1
1	16494379	16494522	461	469_cg17468312	1
1	16533457	16533523	462	470_cg01719793;cg02298360	0
1	16563503	16563644	463	471_cg18809377	1
1	16563648	16563863	464	472_cg09354439;cg14170756;cg22391883	1
1	16678505	16678666	465	473_cg20387712	1
1	16679065	16679235	466	474_cg13491192;cg14093570;cg15644938	1
1	16713878	16714127	467	475_PET_CpG	1
1	16766950	16767079	468	476_cg03136512;cg16011258	1
1	16767110	16767254	469	477_cg18194393	1
1	16767443	16767588	470	478_cg15881444	1
1	16767765	16767898	471	479_cg13977963	1
1	16825495	16825639	472	480_cg21847951	0
1	16939625	16940260	473	481_cg01943843;cg26809482;cg09507771;cg16116244;cg19627864	1
1	16970630	16970770	474	482_cg24102570	1
1	16971055	16971328	475	483_cg12593714;cg23037186	1
1	17003309	17003455	476	484_PET_CpG	1
1	17231483	17231625	477	485_cg15135617	1
1	17240312	17240453	478	487_cg18117094	1
1	17240691	17240814	479	488_cg05398833	0
1	17306889	17307042	480	489_cg16718986	1
1	17337218	17337388	481	490_PET_CpG	1
1	17338334	17338390	482	491_cg08898568	0
1	17338433	17338481	483	491_cg08898568	0
1	17338538	17338685	484	492_cg22219083	1
1	17380430	17380837	485	493_cg03861428;cg12070379;cg13915730;cg18192519;cg24305835;cg11678423	1
1	17445850	17446097	486	494_cg09313801;cg19282714	1
1	17508288	17508446	487	495_PET_CpG	1
1	17512818	17513008	488	496_PET_CpG	1
1	17539055	17539446	489	497_PET_CpG	1
1	17603120	17603300	490	498_PET_CpG	1
1	17608570	17608725	491	499_PET_CpG	1
1	17682464	17682602	492	500_PET_CpG	1
1	17764617	17764768	493	501_cg16272484	0
1	17764964	17765111	494	502_cg02506043;cg04565617;cg11737843;cg15556553	0
1	17835930	17836174	495	504_PET_CpG	1
1	18000287	18000464	496	505_PET_CpG	1
1	18017828	18017985	497	506_PET_CpG	1
1	18024393	18024551	498	507_PET_CpG	1
1	18069536	18069672	499	508_PET_CpG	1
1	18434694	18434841	500	509_cg08244959	1
1	18557446	18557574	501	510_PET_CpG	1
1	18908020	18908156	502	511_cg10574377	1
1	18958005	18958148	503	512_cg13969001	1
1	18958774	18959168	504	513_PET_CpG	1
1	18969640	18969788	505	514_cg07221967	1
1	18971400	18972127	506	515_PET_CpG	1
1	18972320	18972462	507	516_PET_CpG	1
1	18972650	18972914	508	517_PET_CpG	1
1	18979844	18979990	509	518_PET_CpG	1
1	19228978	19229175	510	519_cg02853781;cg07179759;cg09170051;cg26407146	1
1	19229383	19229535	511	520_cg08164334	1
1	19250425	19250576	512	521_PET_CpG	1
1	19278025	19278433	513	522_PET_CpG	1
1	19278668	19278812	514	523_PET_CpG	1
1	19282475	19282621	515	524_cg12270738	1
1	19283025	19283149	516	525_cg00929392;cg17735028	0
1	19450983	19451145	517	526_PET_CpG	1
1	19536461	19536623	518	527_cg14965477	1
1	19536881	19537034	519	528_cg17239185	1
1	19577826	19578073	520	529_cg00759836;cg00789731;cg14166458	1
1	19578091	19578263	521	530_cg04013393;cg18026264	1
1	19578371	19578508	522	531_cg26547761	1
1	19615231	19615591	523	533_cg05937630;532_PET_CpG	1
1	19638334	19638479	524	534_cg12219123	1
1	19638836	19638965	525	535_cg15311933	1
1	19794989	19795127	526	536_PET_CpG	1
1	19803415	19803626	527	537_PET_CpG	1
1	19803906	19804114	528	538_PET_CpG	1
1	19804400	19804599	529	539_PET_CpG	1
1	19812351	19812408	530	540_cg06839611;cg27561072	0
1	19923266	19923583	531	541_cg04704227;cg09262552;cg10896623;cg20686963;cg24500456	1
1	19923766	19923920	532	542_cg12593394	1
1	19971098	19971239	533	543_cg23295592	1
1	19991627	19991786	534	544_cg11247289	1
1	20126100	20126310	535	545_cg01077102;cg12271781	1
1	20126580	20126740	536	546_cg06362348	1
1	20208649	20208801	537	547_cg16136338	1
1	20208889	20209109	538	548_cg11332484;cg11719836	1
1	20407555	20407702	539	549_PET_CpG	1
1	20441520	20441675	540	550_PET_CpG	1
1	20478899	20479049	541	551_cg06094142	1
1	20511841	20512130	542	552_PET_CpG	1
1	20512356	20513045	543	553_PET_CpG;554_cg19696441;cg24685601;555_cg11651220	1
1	20618259	20618414	544	556_cg06377106	1
1	20692737	20692876	545	557_cg16023415	1
1	20802738	20802878	546	558_cg06830665	1
1	20812773	20812894	547	559_cg19283960	0
1	20834523	20834693	548	560_cg09354021;cg25729922	1
1	20834713	20834914	549	561_cg07116393;cg11904887;cg25307881;cg26163223	1
1	20878953	20879114	550	562_cg03754311	1
1	20959819	20959962	551	563_cg00002028;cg14151682;cg25108841;cg27395190	0
1	20959982	20960100	552	563_cg00002028;cg14151682;cg25108841;cg27395190	0
